2026-06-05 15:42:42.084 | INFO     | nure.image_sources:collect_amazon_images:178 - Amazon 'Aashirvaad Atta with Millets': 2 URLs
2026-06-05 15:42:44.131 | INFO     | nure.image_sources:collect_bing_images:149 - Bing 'Aashirvaad Atta with Millets': 0 URLs
2026-06-05 15:42:55.310 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5d53efe46c3b | File: 5d53efe46c3b_000.jpg | Source: amazon | URL: https://m.media-amazon.com/images/I/31Ip4aURUpL.png
2026-06-05 15:42:55.713 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5d53efe46c3b | File: 5d53efe46c3b_001.jpg | Source: amazon | URL: https://m.media-amazon.com/images/I/617eOW2cNOL.jpg
2026-06-05 15:42:55.865 | INFO     | __main__:download_product_images:223 - Product 5d53efe46c3b has 2 images (min 10). Using Playwright fallback.
2026-06-05 15:43:01.491 | DEBUG    | nure.playwright_sources:collect_playwright_images:95 - Playwright timeout for blinkit on Aashirvaad Atta with Millets
2026-06-05 15:43:01.492 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright blinkit 'Aashirvaad Atta with Millets': 0 URLs
2026-06-05 15:43:07.113 | DEBUG    | nure.playwright_sources:collect_playwright_images:95 - Playwright timeout for bigbasket on Aashirvaad Atta with Millets
2026-06-05 15:43:07.113 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright bigbasket 'Aashirvaad Atta with Millets': 0 URLs
2026-06-05 15:43:09.601 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright jiomart 'Aashirvaad Atta with Millets': 1 URLs
2026-06-05 15:43:11.936 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright flipkart 'Aashirvaad Atta with Millets': 0 URLs
2026-06-05 15:43:20.992 | INFO     | __main__:download_product_images:223 - Product 5dc7a65f2d43 has 0 images (min 10). Using Playwright fallback.
2026-06-05 15:43:24.067 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright blinkit 'Pillsbury Chakki atta': 15 URLs
2026-06-05 15:43:27.426 | DEBUG    | nure.playwright_sources:collect_playwright_images:95 - Playwright timeout for bigbasket on Pillsbury Chakki atta
2026-06-05 15:43:27.426 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright bigbasket 'Pillsbury Chakki atta': 0 URLs
2026-06-05 15:43:29.932 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright jiomart 'Pillsbury Chakki atta': 1 URLs
2026-06-05 15:43:32.257 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright flipkart 'Pillsbury Chakki atta 1 kg': 0 URLs
2026-06-05 15:43:32.830 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_000.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772776645620-163.png
2026-06-05 15:43:33.197 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_001.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e05e6ce1-50c8-4790-8f4e-586b946bad2a.png
2026-06-05 15:43:33.433 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_002.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/63708712-d1dd-4676-9da1-8ad476fe29ac.png
2026-06-05 15:43:33.669 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_003.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1769779424274-242.png
2026-06-05 15:43:33.900 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_004.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1776471758958-226.png
2026-06-05 15:43:34.138 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_005.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5a934f90-7342-41d6-a084-b1cb5b2d751d.png
2026-06-05 15:43:34.370 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_006.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771857678119-83.png
2026-06-05 15:43:34.658 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_007.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209973109-467.png
2026-06-05 15:43:34.874 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_008.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/746acb1d-c5df-4db7-b7cb-0ea059d61488.png
2026-06-05 15:43:35.131 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: 5dc7a65f2d43 | File: 5dc7a65f2d43_009.jpg | Source: blinkit | URL: https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1b665fa0-cf61-4007-bed2-14cf2ee4baae.png
2026-06-05 15:43:38.186 | INFO     | nure.image_sources:collect_amazon_images:178 - Amazon 'Pillsbury Pilsbry chakki fresh atta 2kg': 2 URLs
2026-06-05 15:43:40.111 | INFO     | nure.image_sources:collect_bing_images:149 - Bing 'Pillsbury Pilsbry chakki fresh atta 2kg': 0 URLs
2026-06-05 15:43:49.215 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: e1137dfd0f23 | File: e1137dfd0f23_000.jpg | Source: amazon | URL: https://m.media-amazon.com/images/I/31Ip4aURUpL.png
2026-06-05 15:43:49.902 | INFO     | __main__:process_urls_for_product:190 - Verified Source Attribution | Product: e1137dfd0f23 | File: e1137dfd0f23_001.jpg | Source: amazon | URL: https://m.media-amazon.com/images/I/71mcCaGpPLL.jpg
2026-06-05 15:43:50.058 | INFO     | __main__:download_product_images:223 - Product e1137dfd0f23 has 2 images (min 10). Using Playwright fallback.
2026-06-05 15:43:53.473 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright blinkit 'Pillsbury Pilsbry chakki fresh': 15 URLs
2026-06-05 15:43:56.846 | DEBUG    | nure.playwright_sources:collect_playwright_images:95 - Playwright timeout for bigbasket on Pillsbury Pilsbry chakki fresh
2026-06-05 15:43:56.846 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright bigbasket 'Pillsbury Pilsbry chakki fresh': 0 URLs
2026-06-05 15:43:59.317 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright jiomart 'Pillsbury Pilsbry chakki fresh': 1 URLs
2026-06-05 15:44:02.125 | INFO     | nure.playwright_sources:collect_playwright_images:99 - Playwright flipkart 'Pillsbury Pilsbry chakki fresh': 0 URLs
