Product Name,Brand,Barcode Available,Barcode Value,Source,Product URL
aashirwad atta 10kg,Aashirvaad,Yes,8901725008895.00,openfoodfacts,https://world.openfoodfacts.org/product/8901725008895
Atta Whole Wheat Flour With Multigrains,Aashirvaad,Yes,841905080045.00,openfoodfacts,https://world.openfoodfacts.org/product/0841905080045
Atta with Millets,Aashirvaad,Yes,841905080779.00,openfoodfacts,https://world.openfoodfacts.org/product/0841905080779
Atta with Multigrains,Aashirvaad,Yes,8901725100537.00,openfoodfacts,https://world.openfoodfacts.org/product/8901725100537
amul butter,Amul,Yes,8901262010030.00,openfoodfacts,https://world.openfoodfacts.org/product/8901262010030
amul butter,Amul,Yes,8901262010153.00,openfoodfacts,https://world.openfoodfacts.org/product/8901262010153
Butter Unsalted,Amul,Yes,8901262010085.00,openfoodfacts,https://world.openfoodfacts.org/product/8901262010085
Water Buffalo And Cow Milk Butter,Amul,Yes,656846520129.00,openfoodfacts,https://world.openfoodfacts.org/product/0656846520129
Water buffalo butter,Amul,Yes,8901262010429.00,openfoodfacts,https://world.openfoodfacts.org/product/8901262010429
Hide & Seek,Parle,Yes,8901719104046.00,openfoodfacts,https://world.openfoodfacts.org/product/8901719104046
Parle G,Parle,Yes,8901719301018.00,openfoodfacts,https://world.openfoodfacts.org/product/8901719301018
Parle-G Original Gluco Biscuits,Parle,Yes,8901719101045.00,openfoodfacts,https://world.openfoodfacts.org/product/8901719101045
Parle-G Original Gluco Biscuits,Parle,Yes,8901719902413.00,openfoodfacts,https://world.openfoodfacts.org/product/8901719902413
TATA Salt,TaTa,Yes,8904043901268.00,openfoodfacts,https://world.openfoodfacts.org/product/8904043901268
