Category,Total Products,Total Images,Avg Images Per Product
Other,58,764,13.2
Grains & Flour,49,597,12.2
Spices & Masala,46,569,12.4
Snacks & Namkeen,16,215,13.4
Plant Based Foods And Beverages,7,93,13.3
Ready-to-Eat,7,86,12.3
Sauces & Condiments,7,83,11.9
Desserts & Ice Cream,2,28,14.0
Biscuits & Bakery,2,27,13.5
Tea & Coffee,2,27,13.5
Health & Nutrition,2,27,13.5
Dairy,2,24,12.0
Baby Food,2,24,12.0
Beverages,2,23,11.5
Cooking Oil,2,22,11.0
Meat & Seafood,2,19,9.5
Chips,1,14,14.0
Breakfast Cereals,1,13,13.0
Instant Foods & Noodles,1,12,12.0
Chocolates & Confectionery,1,7,7.0
