Product Name,Brand,Missing Nutrition,Missing Ingredients,Reason
aashirwad atta 10kg,Aashirvaad,No,Yes,Not found in any source
Atta with Multigrains,Aashirvaad,No,Yes,Not found in any source
Atta Whole Wheat Flour With Multigrains,Aashirvaad,No,Yes,Not found in any source
Atta with Millets,Aashirvaad,No,Yes,Not found in any source
Chakki atta,Pillsbury,No,Yes,Not found in any source
Pilsbry chakki fresh atta 2kg,Pillsbury,No,Yes,Not found in any source
Multigrain Atta,Pillsbury,No,Yes,Not found in any source
Pillsbury gold atta 5kg,Pillsbury,No,Yes,Not found in any source
Basmati Aged 1kg (India Gate),India Gate,No,Yes,Not found in any source
Basmati rice,India Gate,No,Yes,Not found in any source
Rice India Gate uncooked,India Gate,No,Yes,Not found in any source
Riz basmati - Rosana,India Gate,Yes,Yes,Not found in any source
White basmati rice excel,India Gate,No,Yes,Not found in any source
Basmati rice 10kg,India Gate,No,Yes,Not found in any source
India Gate Classic Rice,India Gate,No,Yes,Not found in any source
Sprouted Brown Basmati Rice,India Gate,Yes,Yes,Not found in any source
Sella Basmati Rice,India Gate,No,Yes,Not found in any source
Basmati Rice Classic,India Gate,No,Yes,Not found in any source
Extra Long Basmati Rice Premium,India Gate,No,Yes,Not found in any source
Parboiled Basmati Rice,India Gate,Yes,Yes,Not found in any source
Original Basmati Rice,Daawat,Yes,Yes,Not found in any source
Rozana Gold  basmati rice,Daawat,No,Yes,Not found in any source
daawat super basmati rice,Daawat,No,Yes,Not found in any source
Extra Long Basmati Rice,Daawat,Yes,Yes,Not found in any source
Super Basmati Rice,Daawat,Yes,Yes,Not found in any source
Brown Basmati Rice,Daawat,Yes,Yes,Not found in any source
Chefs Secretz Basmati Rice,Daawat,No,Yes,Not found in any source
Extra Long Basmati Reis,Daawat,Yes,Yes,Not found in any source
Rice raw,Daawat,Yes,Yes,Not found in any source
Daawat Basmati Blue 500g,Daawat,No,Yes,Not found in any source
EVERYDAY BASMATI RICE,Daawat,No,Yes,Not found in any source
Basmati,Kohinoor,Yes,Yes,Not found in any source
Basmati rice,Kohinoor,No,Yes,Not found in any source
Basmati Gold,Kohinoor,No,Yes,Not found in any source
Extra Long Basmati Rice,Kohinoor,Yes,Yes,Not found in any source
Basmati rice extra long 64oz.,Kohinoor,No,Yes,Not found in any source
Extra Long Grain Basmati Rice,Kohinoor,No,Yes,Not found in any source
Brown basmati rice,Kohinoor,No,Yes,Not found in any source
Toor Dal,Kazan’s Organic,Yes,Yes,Not found in any source
Toor Dal,Real,Yes,Yes,Not found in any source
Toor Dal,Annam,No,Yes,Not found in any source
Toor Dal,Laxmi,No,Yes,Not found in any source
Uncooked Toor Dal,Devi,No,Yes,Not found in any source
Toor Dal (Vasad Madhi) Split Pigeon Peas,Laxmi,No,Yes,Not found in any source
Toor Dal,Shani,No,Yes,Not found in any source
Bikaji (moong Dal) 400GM,Bikaji,Yes,Yes,Not found in any source
Moong Dal,Bikano,No,Yes,Not found in any source
Moong Dal,Haldiram's,No,Yes,Not found in any source
Moong Dal,Deep,Yes,Yes,Not found in any source
"Moong dal, split moong beans (without skin)",Diya,Yes,Yes,Not found in any source
Parle Namkeen &quot;Moong Dal&quot; 400GM,Parle,Yes,Yes,Not found in any source
Dal Moong,Rehmat-e-Sheren,Yes,Yes,Not found in any source
Namkeen - Moong dal,Parle,No,Yes,Not found in any source
Ashoka Moong Dal Kachori,Ashoka,Yes,Yes,Not found in any source
Moong dal,Shama,No,Yes,Not found in any source
Moong Dal,Laxmi,Yes,Yes,Not found in any source
Organic Moong Dal,24 Mantra Organic,No,Yes,Not found in any source
"Organic Moong Dal, Dry",Laxmi,Yes,Yes,Not found in any source
Moong Dal Lentils,Shan,No,Yes,Not found in any source
Moong Dal Chilka,Deep,No,Yes,Not found in any source
Moong Dal Split,Laxmi,No,Yes,Not found in any source
Moong Dal,Noor Gazal,No,Yes,Not found in any source
Moong Dal,Patidar,No,Yes,Not found in any source
Yellow Split Moong dal,Devi,No,Yes,Not found in any source
Moong Dal Washed,Sundar,No,Yes,Not found in any source
Moong Dal,Swad,No,Yes,Not found in any source
Moong Dal,Angur,Yes,Yes,Not found in any source
Moong Dal,Ravi,No,Yes,Not found in any source
Moong Dal,Asli,No,Yes,Not found in any source
Split Moong Dal,Roomy,No,Yes,Not found in any source
Moong Dal (Petite Yellow Lentil),Mahraba,Yes,Yes,Not found in any source
Moong Dal,Rani Brand,No,Yes,Not found in any source
Moong Dal,SpiceBox,No,Yes,Not found in any source
moong dal,Bikaji,Yes,Yes,Not found in any source
Moong Dal,Real Bites,No,Yes,Not found in any source
Moong Dal,Kesar Grocery,No,Yes,Not found in any source
Chana dal (savoury Indian snack),cofresh,No,Yes,Not found in any source
Chana Dal,Indus,No,Yes,Not found in any source
Chana dal,Raju,No,Yes,Not found in any source
Chana Dal,Balaji,Yes,Yes,Not found in any source
MDH Chana Dal Masala 100G,MDH,No,Yes,Not found in any source
Ashoka Chana Dal Tikki,Ashoka,No,Yes,Not found in any source
Chana Dal,Laxmi,No,Yes,Not found in any source
Salade de Chana Dal,Hero,Yes,Yes,Not found in any source
Roasted Chana Dal,Ammaas,Yes,Yes,Not found in any source
Chana dal Namkeen,Swad,No,Yes,Not found in any source
Chana Dal,Stocked,No,Yes,Not found in any source
Chana Dal,Ramdev,No,Yes,Not found in any source
Chana Dal,Noor Gazal,No,Yes,Not found in any source
Chana Dal (Snack),Bikano,No,Yes,Not found in any source
Split Chana dal,Saurbhi,No,Yes,Not found in any source
Chana Dal Split Chickpea Lentil,Divya,No,Yes,Not found in any source
Chana Dal,Praana,No,Yes,Not found in any source
Chana Dal Split Chickpeas,Laxmi,No,Yes,Not found in any source
CHANA DAL,Saral,No,Yes,Not found in any source
"Fazlani foods, rajma masala",Fazlani Foods,Yes,Yes,Not found in any source
Rajma pulao,ASHOKA,No,Yes,Not found in any source
Rajma masala,MTR,No,Yes,Not found in any source
Rajma Raseela,Haldiram's,No,Yes,Not found in any source
Rajma Masala,Everest,No,Yes,Not found in any source
Red Bean Rajma Masala,Brooklyn Delhi LLC,Yes,Yes,Not found in any source
Shahi Rajma,Ashoka,No,Yes,Not found in any source
Rajma Masala,Kohinoor,No,Yes,Not found in any source
MTR Ready-To-Eat Rajma Masala,MTR,Yes,Yes,Not found in any source
"Rajma, Raw",24 Mantra,No,Yes,Not found in any source
Raw Rajma,Swad,No,Yes,Not found in any source
Jammu Rajma,Aman’s,No,Yes,Not found in any source
Rajma White,Dmart Premia,Yes,Yes,Not found in any source
Rajma Masala,Vadilal,No,Yes,Not found in any source
Punjabi Rajma,Tirupati’s,Yes,Yes,Not found in any source
Rajma,Bowlful,No,Yes,Not found in any source
