Product Name,Brand,Original Image Count,Valid Images,Duplicates Removed,Blurry Images Removed,Corrupt Images Removed,Too Small Removed,Final Image Count,Meets Minimum Threshold
aashirwad atta 10kg,Aashirvaad,12,12,0,0,0,0,12,Yes
Atta with Multigrains,Aashirvaad,12,12,0,0,0,0,12,Yes
Atta Whole Wheat Flour With Multigrains,Aashirvaad,14,14,0,0,0,0,14,Yes
Atta with Millets,Aashirvaad,2,2,0,0,0,0,2,No
Chakki atta,Pillsbury,10,10,0,0,0,0,10,Yes
Pilsbry chakki fresh atta 2kg,Pillsbury,14,14,0,0,0,0,14,Yes
Chakki Fresh Atta,Pillsbury,15,15,0,0,0,0,15,Yes
Multigrain Atta,Pillsbury,9,9,0,0,0,0,9,No
Gold Atta,Pillsbury,11,11,0,0,0,0,11,Yes
Pillsbury gold atta 5kg,Pillsbury,13,13,0,0,0,0,13,Yes
Fortune Atta,Fortune,13,13,0,0,0,0,13,Yes
Basmati Aged 1kg (India Gate),India Gate,12,12,0,0,0,0,12,Yes
Basmati rice,India Gate,9,9,0,0,0,0,9,No
Rice India Gate uncooked,India Gate,12,12,0,0,0,0,12,Yes
Riz basmati - Rosana,India Gate,11,11,0,0,0,0,11,Yes
White basmati rice excel,India Gate,15,15,0,0,0,0,15,Yes
Basmati rice 10kg,India Gate,11,11,0,0,0,0,11,Yes
India Gate Classic Rice,India Gate,15,15,0,0,0,0,15,Yes
Sprouted Brown Basmati Rice,India Gate,16,16,0,0,0,0,16,Yes
Sella Basmati Rice,India Gate,14,14,0,0,0,0,14,Yes
Basmati Rice Classic,India Gate,14,14,0,0,0,0,14,Yes
Extra Long Basmati Rice Premium,India Gate,16,16,0,0,0,0,16,Yes
Parboiled Basmati Rice,India Gate,16,16,0,0,0,0,16,Yes
Basmati,Daawat,7,7,0,0,0,0,7,No
Original Basmati Rice,Daawat,7,7,0,0,0,0,7,No
Rozana Gold  basmati rice,Daawat,14,14,0,0,0,0,14,Yes
Daawat Indian Basmati Rice White,Daawat,10,10,0,0,0,0,10,Yes
daawat super basmati rice,Daawat,7,7,0,0,0,0,7,No
Extra Long Basmati Rice,Daawat,10,10,0,0,0,0,10,Yes
Basmati Rice,Daawat,7,7,0,0,0,0,7,No
Super Basmati Rice,Daawat,8,8,0,0,0,0,8,No
Broken Basmati Rice,Daawat,8,8,0,0,0,0,8,No
Brown Basmati Rice,Daawat,12,12,0,0,0,0,12,Yes
Chefs Secretz Basmati Rice,Daawat,13,13,0,0,0,0,13,Yes
Extra Long Basmati Reis,Daawat,13,13,0,0,0,0,13,Yes
Rice raw,Daawat,7,7,0,0,0,0,7,No
Daawat Basmati Blue 500g,Daawat,12,12,0,0,0,0,12,Yes
EVERYDAY BASMATI RICE,Daawat,12,12,0,0,0,0,12,Yes
Everyday Basmati Rice,Kohinoor,17,17,0,0,0,0,17,Yes
Basmati,Kohinoor,10,10,0,0,0,0,10,Yes
"Kohinoor's Exclusive, Brown Basmati Rice",Kohinoor,16,16,0,0,0,0,16,Yes
Finest Indian Basmati Rice,Kohinoor,16,16,0,0,0,0,16,Yes
Basmati rice,Kohinoor,15,15,0,0,0,0,15,Yes
Basmati Gold,Kohinoor,12,12,0,0,0,0,12,Yes
Extra Long Basmati Rice,Kohinoor,16,16,0,0,0,0,16,Yes
Basmati rice extra long 64oz.,Kohinoor,16,16,0,0,0,0,16,Yes
Extra Long Grain Basmati Rice,Kohinoor,17,17,0,0,0,0,17,Yes
Brown basmati rice,Kohinoor,14,14,0,0,0,0,14,Yes
Toor Dal,Kazan’s Organic,12,12,0,0,0,0,12,Yes
Toor dal (split pigeon peas),Swad,13,13,0,0,0,0,13,Yes
Toor Dal,Real,10,10,0,0,0,0,10,Yes
Toor Dal,Annam,11,11,0,0,0,0,11,Yes
Toor Dal,Laxmi,11,11,0,0,0,0,11,Yes
Uncooked Toor Dal,Devi,15,15,0,0,0,0,15,Yes
Toor Dal (Vasad Madhi) Split Pigeon Peas,Laxmi,11,11,0,0,0,0,11,Yes
Toor Dal,Shani,12,12,0,0,0,0,12,Yes
Bikaji (moong Dal) 400GM,Bikaji,13,13,0,0,0,0,13,Yes
Moong Dal,Bikano,13,13,0,0,0,0,13,Yes
Bikaji Moong Dal 200gm,Moong Dal,14,14,0,0,0,0,14,Yes
Moong Dal,Haldiram's,12,12,0,0,0,0,12,Yes
Moong Dal,Deep,11,11,0,0,0,0,11,Yes
Moong Dal,Royal,13,13,0,0,0,0,13,Yes
"Moong dal, split moong beans (without skin)",Diya,13,13,0,0,0,0,13,Yes
Parle Namkeen &quot;Moong Dal&quot; 400GM,Parle,14,14,0,0,0,0,14,Yes
Moong Dal Indian Snacks,Haldiram's,13,13,0,0,0,0,13,Yes
Dal Moong,Rehmat-e-Sheren,12,12,0,0,0,0,12,Yes
Namkeen - Moong dal,Parle,13,13,0,0,0,0,13,Yes
Ashoka Moong Dal Kachori,Ashoka,14,14,0,0,0,0,14,Yes
Moong dal,Shama,12,12,0,0,0,0,12,Yes
Moong Dal,Laxmi,10,10,0,0,0,0,10,Yes
Organic Moong Dal,24 Mantra Organic,13,13,0,0,0,0,13,Yes
"Organic Moong Dal, Dry",Laxmi,14,14,0,0,0,0,14,Yes
Moong Dal (Spit Mung Beans w/o Husk),Laxmi,13,13,0,0,0,0,13,Yes
Moong Dal Lentils,Shan,11,11,0,0,0,0,11,Yes
Moong Dal Chilka,Deep,13,13,0,0,0,0,13,Yes
Moong Dal Split,Laxmi,11,11,0,0,0,0,11,Yes
Moong Dal,Noor Gazal,12,12,0,0,0,0,12,Yes
Moong Dal,Patidar,14,14,0,0,0,0,14,Yes
Yellow Split Moong dal,Devi,13,13,0,0,0,0,13,Yes
Moong Dal Washed,Sundar,12,12,0,0,0,0,12,Yes
Moong Dal,Swad,14,14,0,0,0,0,14,Yes
Moong Dal,Angur,11,11,0,0,0,0,11,Yes
Moong Dal,Ravi,14,14,0,0,0,0,14,Yes
