Product Name,Brand,OpenFoodFacts Images,Amazon Images,Bing Images,Blinkit Images,BigBasket Images,JioMart Images,Flipkart Images,Final Valid Images,Valid Image Count,Missing Images
aashirwad atta 10kg,Aashirvaad,4,3,6,0,0,0,0,13,13,0
Atta with Multigrains,Aashirvaad,0,0,0,0,0,0,0,0,0,10
Atta Whole Wheat Flour With Multigrains,Aashirvaad,0,0,0,0,0,0,0,0,0,10
Atta with Millets,Aashirvaad,0,0,0,0,0,0,0,0,0,10
Chakki atta,Pillsbury,0,0,0,0,0,0,0,0,0,10
Pilsbry chakki fresh atta 2kg,Pillsbury,0,0,0,0,0,0,0,0,0,10
Chakki Fresh Atta,Pillsbury,0,0,0,0,0,0,0,0,0,10
Multigrain Atta,Pillsbury,0,0,0,0,0,0,0,0,0,10
Gold Atta,Pillsbury,0,0,0,0,0,0,0,0,0,10
Pillsbury gold atta 5kg,Pillsbury,0,0,0,0,0,0,0,0,0,10
Fortune Atta,Fortune,0,0,0,0,0,0,0,0,0,10
Basmati Aged 1kg (India Gate),India Gate,0,0,0,0,0,0,0,0,0,10
Basmati rice,India Gate,0,0,0,0,0,0,0,0,0,10
Rice India Gate uncooked,India Gate,0,0,0,0,0,0,0,0,0,10
Riz basmati - Rosana,India Gate,0,0,0,0,0,0,0,0,0,10
White basmati rice excel,India Gate,0,0,0,0,0,0,0,0,0,10
Basmati rice 10kg,India Gate,0,0,0,0,0,0,0,0,0,10
India Gate Classic Rice,India Gate,0,0,0,0,0,0,0,0,0,10
Sprouted Brown Basmati Rice,India Gate,0,0,0,0,0,0,0,0,0,10
Sella Basmati Rice,India Gate,0,0,0,0,0,0,0,0,0,10
Basmati Rice Classic,India Gate,0,0,0,0,0,0,0,0,0,10
Extra Long Basmati Rice Premium,India Gate,0,0,0,0,0,0,0,0,0,10
Parboiled Basmati Rice,India Gate,0,0,0,0,0,0,0,0,0,10
Basmati,Daawat,0,0,0,0,0,0,0,0,0,10
Original Basmati Rice,Daawat,0,0,0,0,0,0,0,0,0,10
Rozana Gold  basmati rice,Daawat,0,0,0,0,0,0,0,0,0,10
Daawat Indian Basmati Rice White,Daawat,0,0,0,0,0,0,0,0,0,10
daawat super basmati rice,Daawat,0,0,0,0,0,0,0,0,0,10
Extra Long Basmati Rice,Daawat,0,0,0,0,0,0,0,0,0,10
Basmati Rice,Daawat,0,0,0,0,0,0,0,0,0,10
Super Basmati Rice,Daawat,0,0,0,0,0,0,0,0,0,10
Broken Basmati Rice,Daawat,0,0,0,0,0,0,0,0,0,10
Brown Basmati Rice,Daawat,0,0,0,0,0,0,0,0,0,10
Chefs Secretz Basmati Rice,Daawat,0,0,0,0,0,0,0,0,0,10
Extra Long Basmati Reis,Daawat,0,0,0,0,0,0,0,0,0,10
Rice raw,Daawat,0,0,0,0,0,0,0,0,0,10
Daawat Basmati Blue 500g,Daawat,0,0,0,0,0,0,0,0,0,10
EVERYDAY BASMATI RICE,Daawat,0,0,0,0,0,0,0,0,0,10
Everyday Basmati Rice,Kohinoor,0,0,0,0,0,0,0,0,0,10
Basmati,Kohinoor,0,0,0,0,0,0,0,0,0,10
"Kohinoor's Exclusive, Brown Basmati Rice",Kohinoor,0,0,0,0,0,0,0,0,0,10
Finest Indian Basmati Rice,Kohinoor,0,0,0,0,0,0,0,0,0,10
Basmati rice,Kohinoor,0,0,0,0,0,0,0,0,0,10
Basmati Gold,Kohinoor,0,0,0,0,0,0,0,0,0,10
Extra Long Basmati Rice,Kohinoor,0,0,0,0,0,0,0,0,0,10
Basmati rice extra long 64oz.,Kohinoor,0,0,0,0,0,0,0,0,0,10
Extra Long Grain Basmati Rice,Kohinoor,0,0,0,0,0,0,0,0,0,10
Brown basmati rice,Kohinoor,0,0,0,0,0,0,0,0,0,10
Toor Dal,Kazan’s Organic,0,0,0,0,0,0,0,0,0,10
Toor dal (split pigeon peas),Swad,0,0,0,0,0,0,0,0,0,10
