Product Name,Brand,Category,Ingredients Available,Ingredient Count,Source
aashirwad atta 10kg,Aashirvaad,,No,0,openfoodfacts
Atta Whole Wheat Flour With Multigrains,Aashirvaad,,No,0,openfoodfacts
Atta with Millets,Aashirvaad,,No,0,openfoodfacts
Atta with Multigrains,Aashirvaad,,No,0,openfoodfacts
amul butter,Amul,,No,0,openfoodfacts
amul butter,Amul,,No,0,openfoodfacts
Butter Unsalted,Amul,,No,0,openfoodfacts
Water Buffalo And Cow Milk Butter,Amul,Dairies,Yes,2,openfoodfacts
Water buffalo butter,Amul,,No,0,openfoodfacts
Hide & Seek,Parle,Snacks,Yes,23,openfoodfacts
Parle G,Parle,Snacks,No,0,openfoodfacts
Parle-G Original Gluco Biscuits,Parle,Snacks,No,0,openfoodfacts
Parle-G Original Gluco Biscuits,Parle,Snacks,Yes,11,openfoodfacts
TATA Salt,TaTa,Tata Salt,No,0,openfoodfacts
