product_name,brand,category,source,enrichment_status
aashirwad atta 10kg,Aashirvaad,Grains & Flour,openfoodfacts,enriched
Atta with Multigrains,Aashirvaad,Grains & Flour,openfoodfacts,enriched
Atta Whole Wheat Flour With Multigrains,Aashirvaad,Grains & Flour,openfoodfacts,enriched
Atta with Millets,Aashirvaad,Grains & Flour,openfoodfacts,enriched
Chakki atta,Pillsbury,Grains & Flour,openfoodfacts,enriched
Pilsbry chakki fresh atta 2kg,Pillsbury,Grains & Flour,openfoodfacts,enriched
Multigrain Atta,Pillsbury,Grains & Flour,openfoodfacts,enriched
Pillsbury gold atta 5kg,Pillsbury,Grains & Flour,openfoodfacts,enriched
Basmati Aged 1kg (India Gate),India Gate,Grains & Flour,openfoodfacts,enriched
Basmati rice,India Gate,Grains & Flour,openfoodfacts,enriched
Rice India Gate uncooked,India Gate,Grains & Flour,openfoodfacts,enriched
Riz basmati - Rosana,India Gate,Grains & Flour,openfoodfacts,not_found
White basmati rice excel,India Gate,Grains & Flour,openfoodfacts,enriched
Basmati rice 10kg,India Gate,Grains & Flour,openfoodfacts,enriched
India Gate Classic Rice,India Gate,Grains & Flour,openfoodfacts,enriched
Sprouted Brown Basmati Rice,India Gate,Grains & Flour,openfoodfacts,not_found
Sella Basmati Rice,India Gate,Grains & Flour,openfoodfacts,enriched
Basmati Rice Classic,India Gate,Grains & Flour,openfoodfacts,enriched
Extra Long Basmati Rice Premium,India Gate,Grains & Flour,openfoodfacts,enriched
Parboiled Basmati Rice,India Gate,Grains & Flour,openfoodfacts,not_found
Original Basmati Rice,Daawat,Grains & Flour,openfoodfacts,not_found
Rozana Gold  basmati rice,Daawat,Grains & Flour,openfoodfacts,enriched
daawat super basmati rice,Daawat,Grains & Flour,openfoodfacts,enriched
Extra Long Basmati Rice,Daawat,Grains & Flour,openfoodfacts,not_found
Super Basmati Rice,Daawat,Grains & Flour,openfoodfacts,not_found
Brown Basmati Rice,Daawat,Grains & Flour,openfoodfacts,not_found
Chefs Secretz Basmati Rice,Daawat,Grains & Flour,openfoodfacts,enriched
Extra Long Basmati Reis,Daawat,Grains & Flour,openfoodfacts,not_found
Rice raw,Daawat,Grains & Flour,openfoodfacts,not_found
Daawat Basmati Blue 500g,Daawat,Grains & Flour,openfoodfacts,enriched
EVERYDAY BASMATI RICE,Daawat,Grains & Flour,openfoodfacts,enriched
Basmati,Kohinoor,Grains & Flour,openfoodfacts,not_found
Basmati rice,Kohinoor,Grains & Flour,openfoodfacts,enriched
Basmati Gold,Kohinoor,Grains & Flour,openfoodfacts,enriched
Extra Long Basmati Rice,Kohinoor,Grains & Flour,openfoodfacts,not_found
Basmati rice extra long 64oz.,Kohinoor,Grains & Flour,openfoodfacts,enriched
Extra Long Grain Basmati Rice,Kohinoor,Grains & Flour,openfoodfacts,enriched
Brown basmati rice,Kohinoor,Grains & Flour,openfoodfacts,enriched
Toor Dal,Kazan’s Organic,Other,openfoodfacts,not_found
Toor Dal,Real,Other,openfoodfacts,not_found
Toor Dal,Annam,Other,openfoodfacts,enriched
Toor Dal,Laxmi,Other,openfoodfacts,enriched
Uncooked Toor Dal,Devi,Other,openfoodfacts,enriched
Toor Dal (Vasad Madhi) Split Pigeon Peas,Laxmi,Other,openfoodfacts,enriched
Toor Dal,Shani,Other,openfoodfacts,enriched
Bikaji (moong Dal) 400GM,Bikaji,Snacks & Namkeen,openfoodfacts,not_found
Moong Dal,Bikano,Snacks & Namkeen,openfoodfacts,enriched
Moong Dal,Haldiram's,Snacks & Namkeen,openfoodfacts,enriched
Moong Dal,Deep,Other,openfoodfacts,not_found
"Moong dal, split moong beans (without skin)",Diya,Plant Based Foods And Beverages,openfoodfacts,not_found
Parle Namkeen &quot;Moong Dal&quot; 400GM,Parle,Biscuits & Bakery,openfoodfacts,not_found
Dal Moong,Rehmat-e-Sheren,Other,openfoodfacts,not_found
Namkeen - Moong dal,Parle,Biscuits & Bakery,openfoodfacts,enriched
Ashoka Moong Dal Kachori,Ashoka,Snacks & Namkeen,openfoodfacts,not_found
Moong dal,Shama,Other,openfoodfacts,enriched
Moong Dal,Laxmi,Other,openfoodfacts,not_found
Organic Moong Dal,24 Mantra Organic,Other,openfoodfacts,enriched
"Organic Moong Dal, Dry",Laxmi,Other,openfoodfacts,not_found
Moong Dal Lentils,Shan,Other,openfoodfacts,enriched
Moong Dal Chilka,Deep,Other,openfoodfacts,enriched
Moong Dal Split,Laxmi,Other,openfoodfacts,enriched
Moong Dal,Noor Gazal,Other,openfoodfacts,enriched
Moong Dal,Patidar,Other,openfoodfacts,enriched
Yellow Split Moong dal,Devi,Other,openfoodfacts,enriched
Moong Dal Washed,Sundar,Other,openfoodfacts,enriched
Moong Dal,Swad,Other,openfoodfacts,enriched
Moong Dal,Angur,Other,openfoodfacts,not_found
Moong Dal,Ravi,Other,openfoodfacts,enriched
Moong Dal,Asli,Other,openfoodfacts,enriched
Split Moong Dal,Roomy,Other,openfoodfacts,enriched
Moong Dal (Petite Yellow Lentil),Mahraba,Other,openfoodfacts,not_found
Moong Dal,Rani Brand,Other,openfoodfacts,enriched
Moong Dal,SpiceBox,Other,openfoodfacts,enriched
moong dal,Bikaji,Snacks & Namkeen,openfoodfacts,not_found
Moong Dal,Real Bites,Other,openfoodfacts,enriched
Moong Dal,Kesar Grocery,Other,openfoodfacts,enriched
Chana dal (savoury Indian snack),cofresh,Other,openfoodfacts,enriched
Chana Dal,Indus,Other,openfoodfacts,enriched
Chana dal,Raju,Other,openfoodfacts,enriched
Chana Dal,Balaji,Snacks & Namkeen,openfoodfacts,not_found
MDH Chana Dal Masala 100G,MDH,Spices & Masala,openfoodfacts,enriched
Ashoka Chana Dal Tikki,Ashoka,Snacks & Namkeen,openfoodfacts,enriched
Chana Dal,Laxmi,Other,openfoodfacts,enriched
Salade de Chana Dal,Hero,Plant Based Foods And Beverages,openfoodfacts,not_found
Roasted Chana Dal,Ammaas,Other,openfoodfacts,not_found
Chana dal Namkeen,Swad,Other,openfoodfacts,enriched
Chana Dal,Stocked,Other,openfoodfacts,enriched
Chana Dal,Ramdev,Other,openfoodfacts,enriched
Chana Dal,Noor Gazal,Other,openfoodfacts,enriched
Chana Dal (Snack),Bikano,Snacks & Namkeen,openfoodfacts,enriched
Split Chana dal,Saurbhi,Other,openfoodfacts,enriched
Chana Dal Split Chickpea Lentil,Divya,Other,openfoodfacts,enriched
Chana Dal,Praana,Other,openfoodfacts,enriched
Chana Dal Split Chickpeas,Laxmi,Other,openfoodfacts,enriched
CHANA DAL,Saral,Other,openfoodfacts,enriched
"Fazlani foods, rajma masala",Fazlani Foods,Plant Based Foods And Beverages,openfoodfacts,not_found
Rajma pulao,ASHOKA,Other,openfoodfacts,enriched
Rajma masala,MTR,Ready-to-Eat,openfoodfacts,enriched
Rajma Raseela,Haldiram's,Snacks & Namkeen,openfoodfacts,enriched
Rajma Masala,Everest,Spices & Masala,openfoodfacts,enriched
Red Bean Rajma Masala,Brooklyn Delhi LLC,Spices & Masala,openfoodfacts,not_found
Shahi Rajma,Ashoka,Other,openfoodfacts,enriched
Rajma Masala,Kohinoor,Grains & Flour,openfoodfacts,enriched
MTR Ready-To-Eat Rajma Masala,MTR,Ready-to-Eat,openfoodfacts,not_found
"Rajma, Raw",24 Mantra,Other,openfoodfacts,enriched
Raw Rajma,Swad,Other,openfoodfacts,enriched
Jammu Rajma,Aman’s,Other,openfoodfacts,enriched
Rajma White,Dmart Premia,Other,openfoodfacts,not_found
Rajma Masala,Vadilal,Other,openfoodfacts,enriched
Punjabi Rajma,Tirupati’s,Other,openfoodfacts,not_found
Rajma,Bowlful,Other,openfoodfacts,enriched
Rajma,Five Minutes To Delhi,Other,openfoodfacts,not_found
Kashmiri Rajma,Orchid,Other,openfoodfacts,enriched
Chitra Rajma,Indian Delibites,Other,openfoodfacts,enriched
Rajma Chawal,Haldiram's,Snacks & Namkeen,openfoodfacts,enriched
Amritsari Rajma,Mother’s Recipe,Other,openfoodfacts,not_found
Rajma Masala,Laxmi,Other,openfoodfacts,enriched
Rajma,Heera,Other,openfoodfacts,enriched
KABULI CHANA CHICKPEA,24 Mantra Organic,Other,openfoodfacts,not_found
Kabuli Chana,Real,Other,openfoodfacts,enriched
Kabuli Chana,Laxmi,Other,openfoodfacts,not_found
Kabuli Chana,Deep,Other,openfoodfacts,enriched
Kabuli Chana,Aara,Other,openfoodfacts,not_found
Kabuli Chana Chickpeas,Deep,Other,openfoodfacts,enriched
Kabuli chana,Deer,Other,openfoodfacts,enriched
Kabuli Chana Chickpeas,Laxmi,Other,openfoodfacts,enriched
Kitchen King Masala,Everest,Spices & Masala,openfoodfacts,enriched
Everest Sabji masala,Everest,Spices & Masala,openfoodfacts,not_found
Everest Sambhar masala,Everest,Spices & Masala,openfoodfacts,enriched
chiken biryani masala Everest,Everest,Spices & Masala,openfoodfacts,not_found
Kesari Milk Masala,Everest,Spices & Masala,openfoodfacts,not_found
Everest fish curry masala,Everest,Spices & Masala,openfoodfacts,enriched
EVEREST Masala tae,Everest,Spices & Masala,openfoodfacts,enriched
Shahi Paneer Masala,Everest,Spices & Masala,openfoodfacts,enriched
EVEREST Chhole Masala,Everest,Spices & Masala,openfoodfacts,not_found
Tikka Masala Curry,Everest,Spices & Masala,openfoodfacts,enriched
Sambar Masala,Everest,Spices & Masala,openfoodfacts,enriched
Everest Tandoori Chicken Masala,Everest,Spices & Masala,openfoodfacts,enriched
Chat Masala,Everest,Spices & Masala,openfoodfacts,enriched
Chunky Chat masala,MDH,Spices & Masala,openfoodfacts,not_found
Dal Makhani masala,MDH,Spices & Masala,openfoodfacts,enriched
pulao masala,MDH,Spices & Masala,openfoodfacts,not_found
MDH Dal Makhani Masala,MDH,Ready-to-Eat,openfoodfacts,enriched
T Plus Masala,MDH,Spices & Masala,openfoodfacts,not_found
MDH JAL JEERA MASALA,MDH,Spices & Masala,openfoodfacts,not_found
Karahi Paneer Masala,MDH,Spices & Masala,openfoodfacts,enriched
Stuffed Parantha Masala Spice Blend,MDH,Spices & Masala,openfoodfacts,enriched
Curry Masala for Karahi Gosht,MDH,Spices & Masala,openfoodfacts,enriched
Sindhi Biryani masala,MDH,Spices & Masala,openfoodfacts,not_found
Chhole Masala,Catch,Spices & Masala,openfoodfacts,not_found
Sprinkler Black Pepper,Catch,Spices & Masala,openfoodfacts,not_found
CHICKEN MASALA,Catch,Spices & Masala,openfoodfacts,not_found
SAMBHAR MASALA,Catch,Spices & Masala,openfoodfacts,enriched
Catch Chatpata Chat Masala,Catch,Spices & Masala,openfoodfacts,enriched
KITCHEN KING,Catch,Sauces & Condiments,openfoodfacts,enriched
Catch sabzi masala,Catch,Sauces & Condiments,openfoodfacts,enriched
JALJEERA,Catch,Sauces & Condiments,openfoodfacts,enriched
MEAT MASALA,Catch,Sauces & Condiments,openfoodfacts,not_found
Garam masala,Catch,Spices & Masala,openfoodfacts,enriched
catch Rajma masala,Catch,Sauces & Condiments,openfoodfacts,not_found
Amchur power,Catch,Spices & Masala,openfoodfacts,enriched
Kashmiri mirch power,Catch,Spices & Masala,openfoodfacts,enriched
catch chana masala,Catch,Spices & Masala,openfoodfacts,enriched
catch biryani masala,Catch,Spices & Masala,openfoodfacts,not_found
pav bhaji masala,Catch,Spices & Masala,openfoodfacts,enriched
Madras Sambar Masala,Badshah,Ready-to-Eat,openfoodfacts,not_found
Mélange De Thandai Masala,Badshah,Spices & Masala,openfoodfacts,enriched
Chat Masala,Badshah,Spices & Masala,openfoodfacts,not_found
Tandoori Chicken Masala,Sakthi,Spices & Masala,openfoodfacts,enriched
Chilli Powder,Sakthi,Spices & Masala,openfoodfacts,not_found
Biriyani Masala,Sakthi,Spices & Masala,openfoodfacts,enriched
Super garam masala,Eastern,Spices & Masala,openfoodfacts,enriched
Butter Masala Sauce,Eastern,Sauces & Condiments,openfoodfacts,not_found
Garam Masala,Eastern,Spices & Masala,openfoodfacts,enriched
Spicy Chicken Masala,Eastern,Spices & Masala,openfoodfacts,not_found
Mutton Masala,Eastern,Sauces & Condiments,openfoodfacts,enriched
Beef Ularthu Masala,Eastern,Spices & Masala,openfoodfacts,not_found
Chicken 64 Masala,Eastern,Spices & Masala,openfoodfacts,enriched
Egg Masala Powder,Eastern,Spices & Masala,openfoodfacts,enriched
Chicken Masala Spice Mix,Eastern,Spices & Masala,openfoodfacts,enriched
Chicken Fry Masala,Eastern,Spices & Masala,openfoodfacts,not_found
fortune sun lite sunflower oil 15 litre,Fortune,Grains & Flour,openfoodfacts,enriched
Pro Immunity Multi-source Edible Oil,Fortune,Grains & Flour,openfoodfacts,not_found
100% Sanfflower Oil,Saffola,Cooking Oil,openfoodfacts,not_found
SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,Cooking Oil,openfoodfacts,not_found
Saffola Gold,Saffola,Cooking Oil,openfoodfacts,not_found
Saffola gold Blended oil 5 l,Saffola,Cooking Oil,openfoodfacts,enriched
Dhara groundnut oil,Dhara,Cooking Oil,openfoodfacts,enriched
Dhara ground nut oil,Dhara,Cooking Oil,openfoodfacts,enriched
mustard oil,Dhara,Cooking Oil,openfoodfacts,not_found
Kachi Ghani Mustard Oil,Dhara,Cooking Oil,openfoodfacts,enriched
Kachi Ghani Mustard Oil,Dhãra,Plant Based Foods And Beverages,openfoodfacts,enriched
Dhara Refined Sunflower oil 5l,Dhara,Cooking Oil,openfoodfacts,enriched
Blended Edible Vegetable multi source oil,Sundrop,Cooking Oil,openfoodfacts,enriched
Sundrop Heart blnd edbl oil 1ltr,Sundrop,Cooking Oil,openfoodfacts,enriched
sundrop oil,Sundrop,Cooking Oil,openfoodfacts,enriched
Water buffalo butter,Amul,Dairy,openfoodfacts,enriched
