Product Name,Brand,Barcode
aashirwad atta 10kg,Aashirvaad,8901725008895
Atta with Multigrains,Aashirvaad,8901725100537
Atta Whole Wheat Flour With Multigrains,Aashirvaad,0841905080045
Atta with Millets,Aashirvaad,0841905080779
Chakki atta,Pillsbury,8906000210024
Pilsbry chakki fresh atta 2kg,Pillsbury,8906000210031
Multigrain Atta,Pillsbury,8906000212240
Pillsbury gold atta 5kg,Pillsbury,8904150503638
Basmati Aged 1kg (India Gate),India Gate,0690225301244
Basmati rice,India Gate,0690225106092
Rice India Gate uncooked,India Gate,0690225108324
Riz basmati - Rosana,India Gate,8908014100360
White basmati rice excel,India Gate,0690225108973
Basmati rice 10kg,India Gate,0690225104364
India Gate Classic Rice,India Gate,0690225105569
Sprouted Brown Basmati Rice,India Gate,0690225300643
Sella Basmati Rice,India Gate,0690225301329
Basmati Rice Classic,India Gate,8908014100292
Extra Long Basmati Rice Premium,India Gate,8908014100421
Parboiled Basmati Rice,India Gate,0690225104654
Original Basmati Rice,Daawat,8719632250111
Rozana Gold  basmati rice,Daawat,8901537006027
daawat super basmati rice,Daawat,0745042000273
Extra Long Basmati Rice,Daawat,8719632250050
Super Basmati Rice,Daawat,8901537025110
Brown Basmati Rice,Daawat,8901537020184
Chefs Secretz Basmati Rice,Daawat,8901537075733
Extra Long Basmati Reis,Daawat,8719632250173
Rice raw,Daawat,0840437500021
Daawat Basmati Blue 500g,Daawat,8719632250029
EVERYDAY BASMATI RICE,Daawat,0840437500045
Basmati,Kohinoor,8901047039034
Basmati rice,Kohinoor,0810347002021
Basmati Gold,Kohinoor,8901047016059
Extra Long Basmati Rice,Kohinoor,8906008814040
Basmati rice extra long 64oz.,Kohinoor,0810347000324
Extra Long Grain Basmati Rice,Kohinoor,0810347001635
Brown basmati rice,Kohinoor,0810347002267
Toor Dal,Kazan’s Organic,0838927501245
Toor Dal,Real,0892786132521
Toor Dal,Annam,8904064662124
Toor Dal,Laxmi,0723246183084
Uncooked Toor Dal,Devi,0749891098177
Toor Dal (Vasad Madhi) Split Pigeon Peas,Laxmi,0723246183640
Toor Dal,Shani,4019041002993
Bikaji (moong Dal) 400GM,Bikaji,8906005501080
Moong Dal,Bikano,8901414000087
Moong Dal,Haldiram's,8904004403770
Moong Dal,Deep,0011433113403
"Moong dal, split moong beans (without skin)",Diya,0753182760407
Parle Namkeen &quot;Moong Dal&quot; 400GM,Parle,8901719106828
Dal Moong,Rehmat-e-Sheren,8964000883044
Namkeen - Moong dal,Parle,8901719106781
Ashoka Moong Dal Kachori,Ashoka,8901552015721
Moong dal,Shama,3760184321922
Moong Dal,Laxmi,0723246183053
Organic Moong Dal,24 Mantra Organic,8904083512158
"Organic Moong Dal, Dry",Laxmi,0723246282213
Moong Dal Lentils,Shan,0788821005847
Moong Dal Chilka,Deep,0011433113328
Moong Dal Split,Laxmi,0723246182032
Moong Dal,Noor Gazal,6294003002640
Moong Dal,Patidar,0813631010085
Yellow Split Moong dal,Devi,0766150270341
Moong Dal Washed,Sundar,9031474090861
Moong Dal,Swad,0051179277243
Moong Dal,Angur,8906022573886
Moong Dal,Ravi,0819697025261
Moong Dal,Asli,0703440140427
Split Moong Dal,Roomy,0840541000523
Moong Dal (Petite Yellow Lentil),Mahraba,0643864869552
Moong Dal,Rani Brand,0680901082901
Moong Dal,SpiceBox,5060651991145
moong dal,Bikaji,8906005501097
Moong Dal,Real Bites,8906019562077
Moong Dal,Kesar Grocery,0749874747696
Chana dal (savoury Indian snack),cofresh,5026489480732
Chana Dal,Indus,5060476790831
Chana dal,Raju,8904214501877
Chana Dal,Balaji,8906010502249
MDH Chana Dal Masala 100G,MDH,8902167000331
Ashoka Chana Dal Tikki,Ashoka,8901552024730
Chana Dal,Laxmi,0723246183022
Salade de Chana Dal,Hero,7614200110211
Roasted Chana Dal,Ammaas,9350814001641
Chana dal Namkeen,Swad,0051179277090
Chana Dal,Stocked,5065010803237
Chana Dal,Ramdev,8902188151210
Chana Dal,Noor Gazal,6294003002329
Chana Dal (Snack),Bikano,8901414030244
Split Chana dal,Saurbhi,8904188607636
Chana Dal Split Chickpea Lentil,Divya,0062781068556
Chana Dal,Praana,7059330072655
Chana Dal Split Chickpeas,Laxmi,0723246183039
CHANA DAL,Saral,0739210582173
"Fazlani foods, rajma masala",Fazlani Foods,0810609021272
Rajma pulao,ASHOKA,8901552023443
Rajma masala,MTR,0840965000727
Rajma Raseela,Haldiram's,8904063209733
Rajma Masala,Everest,8901786541003
Red Bean Rajma Masala,Brooklyn Delhi LLC,0854349008124
Shahi Rajma,Ashoka,8901552026406
Rajma Masala,Kohinoor,8901047816185
MTR Ready-To-Eat Rajma Masala,MTR,8901042956213
"Rajma, Raw",24 Mantra,8904083512226
Raw Rajma,Swad,0051179101357
Jammu Rajma,Aman’s,0670999000840
Rajma White,Dmart Premia,8903363010728
Rajma Masala,Vadilal,8901777351086
Punjabi Rajma,Tirupati’s,8906030159959
Rajma,Bowlful,8906106300933
Rajma,Five Minutes To Delhi,5065021805060
Kashmiri Rajma,Orchid,0618056282273
Chitra Rajma,Indian Delibites,0628908002188
Rajma Chawal,Haldiram's,8904063204660
Amritsari Rajma,Mother’s Recipe,8906001056966
Rajma Masala,Laxmi,0723246291338
Rajma,Heera,5031416082897
KABULI CHANA CHICKPEA,24 Mantra Organic,8904083512219
Kabuli Chana,Real,0892786131524
Kabuli Chana,Laxmi,0723246232010
Kabuli Chana,Deep,0011433113366
Kabuli Chana,Aara,0859800005957
Kabuli Chana Chickpeas,Deep,0011433163231
Kabuli chana,Deer,0714760830684
Kabuli Chana Chickpeas,Laxmi,0723246181172
Kitchen King Masala,Everest,8901786121007
Everest Sabji masala,Everest,8901786131006
Everest Sambhar masala,Everest,8901786081004
chiken biryani masala Everest,Everest,8901786630509
Kesari Milk Masala,Everest,3948786010509
Everest fish curry masala,Everest,8901786490509
EVEREST Masala tae,Everest,8901786020508
Shahi Paneer Masala,Everest,8901786531004
EVEREST Chhole Masala,Everest,8901786091003
Tikka Masala Curry,Everest,9004355537007
Sambar Masala,Everest,8901786080120
Everest Tandoori Chicken Masala,Everest,8901786172009
Chat Masala,Everest,3948786060122
Chunky Chat masala,MDH,6291103750099
Dal Makhani masala,MDH,6291103336606
pulao masala,MDH,8902167000584
MDH Dal Makhani Masala,MDH,8902167001017
