product_name,brand,category,source,enrichment_status
Atta with Multigrains,Aashirvaad,Grains & Flour,openfoodfacts,enriched
Atta with Millets,Aashirvaad,Grains & Flour,openfoodfacts,enriched
Chakki atta,Pillsbury,Grains & Flour,openfoodfacts,enriched
Multigrain Atta,Pillsbury,Grains & Flour,openfoodfacts,enriched
Pillsbury gold atta 5kg,Pillsbury,Grains & Flour,openfoodfacts,enriched
Basmati rice,India Gate,Grains & Flour,openfoodfacts,enriched
Riz basmati - Rosana,India Gate,Grains & Flour,openfoodfacts,not_found
Sprouted Brown Basmati Rice,India Gate,Grains & Flour,openfoodfacts,not_found
Basmati Rice Classic,India Gate,Grains & Flour,openfoodfacts,enriched
Parboiled Basmati Rice,India Gate,Grains & Flour,openfoodfacts,not_found
Original Basmati Rice,Daawat,Grains & Flour,openfoodfacts,not_found
daawat super basmati rice,Daawat,Grains & Flour,openfoodfacts,enriched
Extra Long Basmati Rice,Daawat,Grains & Flour,openfoodfacts,not_found
Super Basmati Rice,Daawat,Grains & Flour,openfoodfacts,not_found
Brown Basmati Rice,Daawat,Grains & Flour,openfoodfacts,not_found
Extra Long Basmati Reis,Daawat,Grains & Flour,openfoodfacts,not_found
Rice raw,Daawat,Grains & Flour,openfoodfacts,not_found
Daawat Basmati Blue 500g,Daawat,Grains & Flour,openfoodfacts,enriched
EVERYDAY BASMATI RICE,Daawat,Grains & Flour,openfoodfacts,enriched
Basmati,Kohinoor,Grains & Flour,openfoodfacts,not_found
Basmati Gold,Kohinoor,Grains & Flour,openfoodfacts,enriched
Extra Long Basmati Rice,Kohinoor,Grains & Flour,openfoodfacts,not_found
Toor Dal,Kazan’s Organic,Other,openfoodfacts,not_found
Toor Dal,Real,Other,openfoodfacts,not_found
Toor Dal,Shani,Other,openfoodfacts,enriched
Bikaji (moong Dal) 400GM,Bikaji,Snacks & Namkeen,openfoodfacts,not_found
Moong Dal,Deep,Other,openfoodfacts,not_found
"Moong dal, split moong beans (without skin)",Diya,Plant Based Foods And Beverages,openfoodfacts,not_found
Parle Namkeen &quot;Moong Dal&quot; 400GM,Parle,Biscuits & Bakery,openfoodfacts,not_found
Dal Moong,Rehmat-e-Sheren,Other,openfoodfacts,not_found
Ashoka Moong Dal Kachori,Ashoka,Snacks & Namkeen,openfoodfacts,not_found
Moong Dal,Laxmi,Other,openfoodfacts,not_found
"Organic Moong Dal, Dry",Laxmi,Other,openfoodfacts,not_found
Moong Dal,Noor Gazal,Other,openfoodfacts,enriched
Moong Dal,Patidar,Other,openfoodfacts,enriched
Moong Dal,Angur,Other,openfoodfacts,not_found
Moong Dal,Ravi,Other,openfoodfacts,enriched
Moong Dal (Petite Yellow Lentil),Mahraba,Other,openfoodfacts,not_found
moong dal,Bikaji,Snacks & Namkeen,openfoodfacts,not_found
Moong Dal,Real Bites,Other,openfoodfacts,enriched
Chana Dal,Balaji,Snacks & Namkeen,openfoodfacts,not_found
Salade de Chana Dal,Hero,Plant Based Foods And Beverages,openfoodfacts,not_found
Roasted Chana Dal,Ammaas,Other,openfoodfacts,not_found
Chana Dal,Noor Gazal,Other,openfoodfacts,enriched
Split Chana dal,Saurbhi,Other,openfoodfacts,enriched
CHANA DAL,Saral,Other,openfoodfacts,enriched
"Fazlani foods, rajma masala",Fazlani Foods,Plant Based Foods And Beverages,openfoodfacts,not_found
Red Bean Rajma Masala,Brooklyn Delhi LLC,Spices & Masala,openfoodfacts,not_found
MTR Ready-To-Eat Rajma Masala,MTR,Ready-to-Eat,openfoodfacts,not_found
Rajma White,Dmart Premia,Other,openfoodfacts,not_found
Punjabi Rajma,Tirupati’s,Other,openfoodfacts,not_found
Rajma,Five Minutes To Delhi,Other,openfoodfacts,not_found
Chitra Rajma,Indian Delibites,Other,openfoodfacts,enriched
Amritsari Rajma,Mother’s Recipe,Other,openfoodfacts,not_found
KABULI CHANA CHICKPEA,24 Mantra Organic,Other,openfoodfacts,not_found
Kabuli Chana,Laxmi,Other,openfoodfacts,not_found
Kabuli Chana,Aara,Other,openfoodfacts,not_found
Everest Sabji masala,Everest,Spices & Masala,openfoodfacts,not_found
chiken biryani masala Everest,Everest,Spices & Masala,openfoodfacts,not_found
Kesari Milk Masala,Everest,Spices & Masala,openfoodfacts,not_found
Everest fish curry masala,Everest,Spices & Masala,openfoodfacts,enriched
EVEREST Chhole Masala,Everest,Spices & Masala,openfoodfacts,not_found
Tikka Masala Curry,Everest,Spices & Masala,openfoodfacts,enriched
Sambar Masala,Everest,Spices & Masala,openfoodfacts,enriched
Chat Masala,Everest,Spices & Masala,openfoodfacts,enriched
Chunky Chat masala,MDH,Spices & Masala,openfoodfacts,not_found
Dal Makhani masala,MDH,Spices & Masala,openfoodfacts,enriched
pulao masala,MDH,Spices & Masala,openfoodfacts,not_found
T Plus Masala,MDH,Spices & Masala,openfoodfacts,not_found
Butter chicken masala,MDH,Spices & Masala,openfoodfacts,enriched
MDH JAL JEERA MASALA,MDH,Spices & Masala,openfoodfacts,not_found
Stuffed Parantha Masala Spice Blend,MDH,Spices & Masala,openfoodfacts,enriched
Curry Masala for Karahi Gosht,MDH,Spices & Masala,openfoodfacts,enriched
Sindhi Biryani masala,MDH,Spices & Masala,openfoodfacts,not_found
Chhole Masala,Catch,Spices & Masala,openfoodfacts,not_found
Sprinkler Black Pepper,Catch,Spices & Masala,openfoodfacts,not_found
CHICKEN MASALA,Catch,Spices & Masala,openfoodfacts,not_found
SAMBHAR MASALA,Catch,Spices & Masala,openfoodfacts,enriched
Catch Chatpata Chat Masala,Catch,Spices & Masala,openfoodfacts,enriched
KITCHEN KING,Catch,Sauces & Condiments,openfoodfacts,enriched
Catch sabzi masala,Catch,Sauces & Condiments,openfoodfacts,enriched
JALJEERA,Catch,Sauces & Condiments,openfoodfacts,enriched
MEAT MASALA,Catch,Sauces & Condiments,openfoodfacts,not_found
Garam masala,Catch,Spices & Masala,openfoodfacts,enriched
catch Rajma masala,Catch,Sauces & Condiments,openfoodfacts,not_found
Amchur power,Catch,Spices & Masala,openfoodfacts,enriched
Kashmiri mirch power,Catch,Spices & Masala,openfoodfacts,enriched
catch chana masala,Catch,Spices & Masala,openfoodfacts,enriched
catch biryani masala,Catch,Spices & Masala,openfoodfacts,not_found
pav bhaji masala,Catch,Spices & Masala,openfoodfacts,enriched
Madras Sambar Masala,Badshah,Ready-to-Eat,openfoodfacts,not_found
Chat Masala,Badshah,Spices & Masala,openfoodfacts,not_found
Chilli Powder,Sakthi,Spices & Masala,openfoodfacts,not_found
Biriyani Masala,Sakthi,Spices & Masala,openfoodfacts,enriched
Super garam masala,Eastern,Spices & Masala,openfoodfacts,enriched
Butter Masala Sauce,Eastern,Sauces & Condiments,openfoodfacts,not_found
Garam Masala,Eastern,Spices & Masala,openfoodfacts,enriched
Spicy Chicken Masala,Eastern,Spices & Masala,openfoodfacts,not_found
Mutton Masala,Eastern,Sauces & Condiments,openfoodfacts,enriched
Beef Ularthu Masala,Eastern,Spices & Masala,openfoodfacts,not_found
Chicken 64 Masala,Eastern,Spices & Masala,openfoodfacts,enriched
Chicken Fry Masala,Eastern,Spices & Masala,openfoodfacts,not_found
fortune sun lite sunflower oil 15 litre,Fortune,Grains & Flour,openfoodfacts,enriched
Fortune Refined Sunflower Oil,Fortune,Grains & Flour,openfoodfacts,enriched
Pro Immunity Multi-source Edible Oil,Fortune,Grains & Flour,openfoodfacts,not_found
100% Sanfflower Oil,Saffola,Cooking Oil,openfoodfacts,not_found
SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,Cooking Oil,openfoodfacts,not_found
Saffola Gold,Saffola,Cooking Oil,openfoodfacts,not_found
Dhara groundnut oil,Dhara,Cooking Oil,openfoodfacts,enriched
Dhara ground nut oil,Dhara,Cooking Oil,openfoodfacts,enriched
mustard oil,Dhara,Cooking Oil,openfoodfacts,not_found
Kachi Ghani Mustard Oil,Dhara,Cooking Oil,openfoodfacts,enriched
Kachi Ghani Mustard Oil,Dhãra,Plant Based Foods And Beverages,openfoodfacts,enriched
Dhara Refined Sunflower oil 5l,Dhara,Cooking Oil,openfoodfacts,enriched
Blended Edible Vegetable multi source oil,Sundrop,Cooking Oil,openfoodfacts,enriched
Sundrop Heart blnd edbl oil 1ltr,Sundrop,Cooking Oil,openfoodfacts,enriched
sundrop oil,Sundrop,Cooking Oil,openfoodfacts,enriched
Water Buffalo And Cow Milk Butter,Amul,Dairy,openfoodfacts,not_found
Amul masti spiced butter milk,Amul,Dairy,openfoodfacts,enriched
Pure ghee clarified butter,Amul,Dairy,openfoodfacts,not_found
Cheese block,Amul,Dairy,openfoodfacts,enriched
Badam Flavoured Milk,Nandini,Beverages,openfoodfacts,not_found
Nandini Good Life,Nandini,Dairy,openfoodfacts,enriched
Nandini Curd,Nandini,Dairy,openfoodfacts,enriched
goodlife slim,Nandini,Dairy,openfoodfacts,not_found
