Product Name,Brand,Barcode,Mock Images Count,Real Images Count
Atta with Millets,Aashirvaad,0841905080779,9,2
Chakki atta,Pillsbury,8906000210024,1,10
Multigrain Atta,Pillsbury,8906000212240,2,9
Basmati rice,India Gate,0690225106092,2,9
Basmati,Daawat,8901537025127,4,7
Original Basmati Rice,Daawat,8719632250111,4,7
Daawat Indian Basmati Rice White,Daawat,8901537025134,1,10
daawat super basmati rice,Daawat,0745042000273,4,7
Extra Long Basmati Rice,Daawat,8719632250050,1,10
Basmati Rice,Daawat,8901537061019,4,7
Super Basmati Rice,Daawat,8901537025110,3,8
Broken Basmati Rice,Daawat,8719632250241,3,8
Rice raw,Daawat,0840437500021,4,7
Basmati,Kohinoor,8901047039034,1,10
Toor Dal,Real,0892786132521,1,10
Moong Dal,Laxmi,0723246183053,1,10
Moong Dal (Petite Yellow Lentil),Mahraba,0643864869552,2,9
Moong Dal,Bayara,2961570551171,1,10
Chitra Rajma,Indian Delibites,0628908002188,11,0
Rajma Chawal,Haldiram's,8904063204660,11,0
Amritsari Rajma,Mother’s Recipe,8906001056966,11,0
Rajma Masala,Laxmi,0723246291338,11,0
Rajma,Heera,5031416082897,11,0
Kabuli Chana,Raja Foods,0051179100954,11,0
KABULI CHANA CHICKPEA,24 Mantra Organic,8904083512219,11,0
Kabuli Chana,Real,0892786131524,11,0
Kabuli Chana,Laxmi,0723246232010,11,0
Kabuli Chana,Deep,0011433113366,11,0
Kabuli Chana,Aara,0859800005957,11,0
Kabuli Chana Chickpeas,Deep,0011433163231,11,0
Kabuli chana,Deer,0714760830684,11,0
Kabuli Chana Chickpeas,Laxmi,0723246181172,11,0
Everest garam Masala,Everest,8901786101009,11,0
Kitchen King Masala,Everest,8901786121007,11,0
Everest Sabji masala,Everest,8901786131006,11,0
Everest Sambhar masala,Everest,8901786081004,11,0
Everest fish curry masala,Everest,8901786490509,10,1
Everest Tandoori Chicken Masala,Everest,8901786172009,2,9
"Whole Catch, Hot Smoked Sockeye Wild Alaskan Slamon, Cajun Spice",Whole Foods Market  Inc.,0099482427498,5,6
JALJEERA,Catch,8901192217110,11,0
Garam masala,Catch,8901192216113,1,10
pav bhaji masala,Catch,3541879797808,1,10
Madras Sambar Masala,Badshah,8901774002165,1,10
Tandoori Chicken Masala,Sakthi,8906002084036,1,10
Chilli Powder,Sakthi,8906002080113,1,10
Super garam masala,Eastern,8901440205647,1,10
Butter Masala Sauce,Eastern,0862768000117,4,7
Beef Ularthu Masala,Eastern,8901440206859,11,0
Chicken 64 Masala,Eastern,8901440214403,11,0
Egg Masala Powder,Eastern,8901440209416,11,0
Chicken Masala Spice Mix,Eastern,8901440011101,11,0
Chicken Fry Masala,Eastern,8901440011439,11,0
refined sunflower oil,Fortune,8906007280242,11,0
fortune sun lite sunflower oil 15 litre,Fortune,8906007280310,11,0
Fortune Refined Sunflower Oil,Fortune,8906007280280,11,0
Pro Immunity Multi-source Edible Oil,Fortune,8906008811902,11,0
Fortune sun lite refined sunflower oil,Fortune,8906007280235,11,0
