Product Name,Brand,Category,Nutrition Available,Energy (kcal),Protein (g),Carbs (g),Fat (g),Source
aashirwad atta 10kg,Aashirvaad,,Yes,366.666666666667,13.3333333333333,73.3333333333333,3.33333333333333,openfoodfacts
Atta Whole Wheat Flour With Multigrains,Aashirvaad,,Yes,366.666666666667,13.3333333333333,73.3333333333333,1.66666666666667,openfoodfacts
Atta with Millets,Aashirvaad,,No,,,,,openfoodfacts
Atta with Multigrains,Aashirvaad,,No,,,,,openfoodfacts
amul butter,Amul,,Yes,740.0,0.6,,82.0,openfoodfacts
amul butter,Amul,,Yes,714.285714285714,,,78.5714285714286,openfoodfacts
Butter Unsalted,Amul,,Yes,740.0,0.6,,82.0,openfoodfacts
Water Buffalo And Cow Milk Butter,Amul,Dairies,Yes,714.285714285714,,,78.5714285714286,openfoodfacts
Water buffalo butter,Amul,,Yes,20.0,,,2.2,openfoodfacts
Hide & Seek,Parle,Snacks,Yes,464.285714285714,7.14285714285714,71.4285714285714,17.8571428571429,openfoodfacts
Parle G,Parle,Snacks,Yes,453.0,6.5,77.5,13.0,openfoodfacts
Parle-G Original Gluco Biscuits,Parle,Snacks,Yes,451.0,6.5,77.3,12.9,openfoodfacts
Parle-G Original Gluco Biscuits,Parle,Snacks,Yes,466.6667,6.6667,76.6667,13.3333,openfoodfacts
TATA Salt,TaTa,Tata Salt,No,,,,,openfoodfacts
