Product Name,Brand,Image Count,Missing Images
Atta with Millets,Aashirvaad,2,8
Multigrain Atta,Pillsbury,9,1
Basmati rice,India Gate,9,1
Basmati,Daawat,7,3
Original Basmati Rice,Daawat,7,3
daawat super basmati rice,Daawat,7,3
Basmati Rice,Daawat,7,3
Super Basmati Rice,Daawat,8,2
Broken Basmati Rice,Daawat,8,2
Rice raw,Daawat,7,3
Moong Dal (Petite Yellow Lentil),Mahraba,9,1
Everest fish curry masala,Everest,1,9
Everest Tandoori Chicken Masala,Everest,9,1
"Whole Catch, Hot Smoked Sockeye Wild Alaskan Slamon, Cajun Spice",Whole Foods Market  Inc.,6,4
Butter Masala Sauce,Eastern,7,3
100% Safflower Oil,Saffola,8,2
BournVita,Cadbury,7,3
