Product Name,Brand,Valid Image Count,Missing Images
aashirwad atta 10kg,Aashirvaad,12,0
Toor Dal,Kazan’s Organic,0,10
Toor dal (split pigeon peas),Swad,13,0
Bikaji (moong Dal) 400GM,Bikaji,13,0
Parle Namkeen &quot;Moong Dal&quot; 400GM,Parle,14,0
MDH Chana Dal Masala 100G,MDH,12,0
MTR Minute Meals Rajma Chawal,MTR,13,0
"Whole Catch, Hot Smoked Sockeye Wild Alaskan Slamon, Cajun Spice",Whole Foods Market  Inc.,6,4
catch chat masala,Catch,14,0
100% Sanfflower Oil,Saffola,14,0
Water buffalo butter,Amul,13,0
Badam Flavoured Milk,Nandini,12,0
Munchies Cheese Fix,Munchies,14,0
Cricket Edition Oreo Original,Cadbury,0,10
Glace Vanille Bourbon,Nestlé,14,0
Noodle Cup - Chicken Taste,Maggi,0,10
Loose Leaf Black Tea,Red Label,13,0
Complan,Complan,13,0
Strawberry,Complan,14,0
Pedia Sure,Abbott,13,0
Atta with Multigrains,Aashirvaad,12,0
Toor Dal,Real,10,0
Moong Dal,Royal,13,0
Moong Dal,Bikano,13,0
Namkeen - Moong dal,Parle,13,0
Rajma Masala,Everest,11,0
Rajma Masala Red Kidney Beans Curry,Kitchens of India,13,0
Pollo Plasmon,Kraft Heinz,13,0
KITCHEN KING,Catch,13,0
100% Safflower Oil,Saffola,8,2
Butter Unsalted,Amul,11,0
GoodLife Pista Flavoured Milk,Nandini,11,0
BournVita,Cadbury,7,3
Crème glacée Vanille,La Manufacture des Belles Glaces,14,0
Saucy Noodles Teriyaki,Maggi,12,0
Black Tea,Wagh Bakri,14,0
PediaSure sabor vainilla,Abbott,13,0
"Strawberry, Banana, Raspberry and Apple",Heinz,11,0
Atta Whole Wheat Flour With Multigrains,Aashirvaad,14,0
Toor Dal,Annam,11,0
"Moong dal, split moong beans (without skin)",Diya,13,0
Bikaji Moong Dal 200gm,Moong Dal,0,10
GOOD DAY CHOCO COOKIES,Britannia,0,10
Red Bean Rajma Masala,Brooklyn Delhi LLC,0,10
Rajma masala,MTR,0,10
Catch sabzi masala,Catch,0,10
SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,0,10
amul butter,Amul,0,10
Ida Marie Brut,Weingut Gold,0,10
Bournvita 1kg pet,Cadbury,0,10
Teriyaki Noodles,Maggi,0,10
Instant Cardamom Tea,Wagh Bakri,0,10
PediaSure Grow & Gain,Abbott,0,10
Apple & Blueberries Pouch,Heinz,0,10
Atta with Millets,Aashirvaad,0,10
Toor Dal,Laxmi,0,10
Moong Dal,Bayara,0,10
Moong Dal,Haldiram's,0,10
"Britannia, Good Day, Cookies, Cashew",Britannia,0,10
Everest garam Masala,Everest,0,10
Dilli style rajma raseela,Haldiram's,0,10
JALJEERA,Catch,0,10
Tasty+,Saffola,0,10
Water Buffalo And Cow Milk Butter,Amul,0,10
Tata tea premium,Tata,0,10
Bournvita Biscuits 250,Cadbury,0,10
Saucy Noodles,Maggi,0,10
Instant tea combo pack,Wagh Bakri,0,10
Vanilla Shake,PediaSure,0,10
Sweet and Sour chicken,Heinz,0,10
Chakki atta,Pillsbury,0,10
Uncooked Toor Dal,Devi,0,10
Salade de Chana Dal,Hero,0,10
Moong Dal Indian Snacks,Haldiram's,0,10
"Britannia, Good Day Cookies, Butter",Britannia,0,10
Kitchen King Masala,Everest,0,10
MTR Ready-To-Eat Rajma Masala,MTR,0,10
MEAT MASALA,Catch,0,10
Saffola Gold,Saffola,0,10
Amul masti spiced butter milk,Amul,0,10
Tata Tea Premium,Tata Tea,0,10
Bournvita 500G,Cadbury,0,10
Noodle cup Curry,Maggi,0,10
Instant Sugar-free Elaichi Tea,Wagh Bakri,0,10
Pediasure chocolate,PediaSure,0,10
omogenizzati manzo nipiol,Kraft Heinz,0,10
Pilsbry chakki fresh atta 2kg,Pillsbury,0,10
Toor Dal (Vasad Madhi) Split Pigeon Peas,Laxmi,0,10
"Fazlani foods, rajma masala",Fazlani Foods,0,10
Ashoka Moong Dal Kachori,Ashoka,0,10
Good Day Psta-Almond Cookies,Britannia,0,10
Everest Sabji masala,Everest,0,10
MDH Dal Makhani Masala,MDH,0,10
catch Rajma masala,Catch,0,10
Saffola gold Blended oil 5 l,Saffola,0,10
Pure ghee clarified butter,Amul,0,10
Red Label Tea Bags,Knightsbridge,0,10
"Cadbury Bournvita Original Refill,500G",Cadbury,0,10
2 Minute Noodles Chicken Flavour,Maggi,0,10
Instant Saffron Tea,Wagh Bakri,0,10
