Product Name,Brand,OpenFoodFacts Count,Amazon Count,Bing Count,Blinkit Count,BigBasket Count,JioMart Count,Flipkart Count,Valid Images,Duplicates Removed
aashirwad atta 10kg,Aashirvaad,0,0,0,12,0,0,0,12,2
Toor Dal,Kazan’s Organic,0,0,0,0,0,0,0,0,2
Toor dal (split pigeon peas),Swad,0,1,0,12,0,0,0,13,2
Bikaji (moong Dal) 400GM,Bikaji,0,0,0,13,0,0,0,13,1
Parle Namkeen &quot;Moong Dal&quot; 400GM,Parle,0,0,0,14,0,0,0,14,0
MDH Chana Dal Masala 100G,MDH,0,0,0,12,0,0,0,12,2
MTR Minute Meals Rajma Chawal,MTR,0,0,0,13,0,0,0,13,1
"Whole Catch, Hot Smoked Sockeye Wild Alaskan Slamon, Cajun Spice",Whole Foods Market  Inc.,0,1,0,5,0,0,0,6,0
catch chat masala,Catch,0,0,0,14,0,0,0,14,0
100% Sanfflower Oil,Saffola,0,2,0,12,0,0,0,14,2
Water buffalo butter,Amul,0,0,0,13,0,0,0,13,1
Badam Flavoured Milk,Nandini,0,0,0,12,0,0,0,12,2
Munchies Cheese Fix,Munchies,0,0,0,14,0,0,0,14,0
Cricket Edition Oreo Original,Cadbury,0,0,0,0,0,0,0,0,0
Glace Vanille Bourbon,Nestlé,0,0,0,14,0,0,0,14,0
Noodle Cup - Chicken Taste,Maggi,0,0,0,0,0,0,0,0,0
Loose Leaf Black Tea,Red Label,0,0,0,13,0,0,0,13,0
Complan,Complan,0,0,0,13,0,0,0,13,1
Strawberry,Complan,0,0,0,14,0,0,0,14,0
Pedia Sure,Abbott,0,0,0,13,0,0,0,13,1
Atta with Multigrains,Aashirvaad,0,2,0,10,0,0,0,12,2
Toor Dal,Real,0,0,0,10,0,0,0,10,4
Moong Dal,Royal,0,2,0,11,0,0,0,13,3
Moong Dal,Bikano,0,0,0,13,0,0,0,13,0
Namkeen - Moong dal,Parle,0,0,0,13,0,0,0,13,0
Rajma Masala,Everest,0,0,0,11,0,0,0,11,1
Rajma Masala Red Kidney Beans Curry,Kitchens of India,0,0,0,13,0,0,0,13,1
Pollo Plasmon,Kraft Heinz,0,0,0,13,0,0,0,13,1
KITCHEN KING,Catch,0,0,0,13,0,0,0,13,0
100% Safflower Oil,Saffola,0,2,0,6,0,0,0,8,7
Butter Unsalted,Amul,0,0,0,11,0,0,0,11,1
GoodLife Pista Flavoured Milk,Nandini,0,0,0,11,0,0,0,11,3
BournVita,Cadbury,0,0,0,7,0,0,0,7,1
Crème glacée Vanille,La Manufacture des Belles Glaces,0,0,0,14,0,0,0,14,0
Saucy Noodles Teriyaki,Maggi,0,0,0,12,0,0,0,12,2
Black Tea,Wagh Bakri,0,2,0,12,0,0,0,14,2
PediaSure sabor vainilla,Abbott,0,0,0,13,0,0,0,13,1
"Strawberry, Banana, Raspberry and Apple",Heinz,0,0,0,11,0,0,0,11,3
Atta Whole Wheat Flour With Multigrains,Aashirvaad,0,2,0,12,0,0,0,14,2
Toor Dal,Annam,0,0,0,11,0,0,0,11,3
"Moong dal, split moong beans (without skin)",Diya,0,2,0,11,0,0,0,13,3
Bikaji Moong Dal 200gm,Moong Dal,0,0,0,0,0,0,0,0,0
GOOD DAY CHOCO COOKIES,Britannia,0,0,0,0,0,0,0,0,0
Red Bean Rajma Masala,Brooklyn Delhi LLC,0,0,0,0,0,0,0,0,0
Rajma masala,MTR,0,0,0,0,0,0,0,0,0
Catch sabzi masala,Catch,0,0,0,0,0,0,0,0,0
SAFOLA ACTIVE - MULTI-SOURCE EDIBLE OIL,Saffola,0,0,0,0,0,0,0,0,0
amul butter,Amul,0,0,0,0,0,0,0,0,0
Ida Marie Brut,Weingut Gold,0,0,0,0,0,0,0,0,0
Bournvita 1kg pet,Cadbury,0,0,0,0,0,0,0,0,0
Teriyaki Noodles,Maggi,0,0,0,0,0,0,0,0,0
Instant Cardamom Tea,Wagh Bakri,0,0,0,0,0,0,0,0,0
PediaSure Grow & Gain,Abbott,0,0,0,0,0,0,0,0,0
Apple & Blueberries Pouch,Heinz,0,0,0,0,0,0,0,0,0
Atta with Millets,Aashirvaad,0,0,0,0,0,0,0,0,0
Toor Dal,Laxmi,0,0,0,0,0,0,0,0,0
Moong Dal,Bayara,0,0,0,0,0,0,0,0,0
Moong Dal,Haldiram's,0,0,0,0,0,0,0,0,0
"Britannia, Good Day, Cookies, Cashew",Britannia,0,0,0,0,0,0,0,0,0
Everest garam Masala,Everest,0,0,0,0,0,0,0,0,0
Dilli style rajma raseela,Haldiram's,0,0,0,0,0,0,0,0,0
JALJEERA,Catch,0,0,0,0,0,0,0,0,0
Tasty+,Saffola,0,0,0,0,0,0,0,0,0
Water Buffalo And Cow Milk Butter,Amul,0,0,0,0,0,0,0,0,0
Tata tea premium,Tata,0,0,0,0,0,0,0,0,0
Bournvita Biscuits 250,Cadbury,0,0,0,0,0,0,0,0,0
Saucy Noodles,Maggi,0,0,0,0,0,0,0,0,0
Instant tea combo pack,Wagh Bakri,0,0,0,0,0,0,0,0,0
Vanilla Shake,PediaSure,0,0,0,0,0,0,0,0,0
Sweet and Sour chicken,Heinz,0,0,0,0,0,0,0,0,0
Chakki atta,Pillsbury,0,0,0,0,0,0,0,0,0
Uncooked Toor Dal,Devi,0,0,0,0,0,0,0,0,0
Salade de Chana Dal,Hero,0,0,0,0,0,0,0,0,0
Moong Dal Indian Snacks,Haldiram's,0,0,0,0,0,0,0,0,0
"Britannia, Good Day Cookies, Butter",Britannia,0,0,0,0,0,0,0,0,0
Kitchen King Masala,Everest,0,0,0,0,0,0,0,0,0
MTR Ready-To-Eat Rajma Masala,MTR,0,0,0,0,0,0,0,0,0
MEAT MASALA,Catch,0,0,0,0,0,0,0,0,0
Saffola Gold,Saffola,0,0,0,0,0,0,0,0,0
Amul masti spiced butter milk,Amul,0,0,0,0,0,0,0,0,0
Tata Tea Premium,Tata Tea,0,0,0,0,0,0,0,0,0
Bournvita 500G,Cadbury,0,0,0,0,0,0,0,0,0
Noodle cup Curry,Maggi,0,0,0,0,0,0,0,0,0
Instant Sugar-free Elaichi Tea,Wagh Bakri,0,0,0,0,0,0,0,0,0
Pediasure chocolate,PediaSure,0,0,0,0,0,0,0,0,0
omogenizzati manzo nipiol,Kraft Heinz,0,0,0,0,0,0,0,0,0
Pilsbry chakki fresh atta 2kg,Pillsbury,0,0,0,0,0,0,0,0,0
Toor Dal (Vasad Madhi) Split Pigeon Peas,Laxmi,0,0,0,0,0,0,0,0,0
"Fazlani foods, rajma masala",Fazlani Foods,0,0,0,0,0,0,0,0,0
Ashoka Moong Dal Kachori,Ashoka,0,0,0,0,0,0,0,0,0
Good Day Psta-Almond Cookies,Britannia,0,0,0,0,0,0,0,0,0
Everest Sabji masala,Everest,0,0,0,0,0,0,0,0,0
MDH Dal Makhani Masala,MDH,0,0,0,0,0,0,0,0,0
catch Rajma masala,Catch,0,0,0,0,0,0,0,0,0
Saffola gold Blended oil 5 l,Saffola,0,0,0,0,0,0,0,0,0
Pure ghee clarified butter,Amul,0,0,0,0,0,0,0,0,0
Red Label Tea Bags,Knightsbridge,0,0,0,0,0,0,0,0,0
"Cadbury Bournvita Original Refill,500G",Cadbury,0,0,0,0,0,0,0,0,0
2 Minute Noodles Chicken Flavour,Maggi,0,0,0,0,0,0,0,0,0
Instant Saffron Tea,Wagh Bakri,0,0,0,0,0,0,0,0,0
